㐁	442.07 444.28
匨	183.09
匪	255.15
匫	481.20
匭	248.23
匯	095.12 272.48
匰	121.20
匱	351.33
匳	225.32
匴	285.31
匵	449.29
匶	435.36
匸	270.04
匹	469.05
医	373.29
匽	280.22
匾	289.35
匿	526.02
區	077.09 212.33
十	531.16
卂	376.22 392.10
千	132.11
卄	038.07
升	199.39
午	266.16
卉	255.41 360.13
半	404.27
卌	533.13
卑	047.06
卒	473.54 482.28 482.54
卓	465.18
協	541.12
南	221.28
卙	534.10
博	508.31
卛	398.31
卜	452.23
卝	317.20
卞	411.05
卟	089.12 269.45
占	226.25 444.22
卣	204.49 324.03
卤	090.13
卦	383.26
卬	183.29 311.18
卮	040.41
卯	299.46
印	394.18
危	049.36
卲	414.08
即	527.34
却	502.32
卵	285.45 306.45
卶	348.48 349.25
卷	143.11 281.17 293.38 410.35
卸	423.02
卺	279.48
卻	501.44 502.31
卽	527.35
卿	186.35
厀	468.32
厂	284.51 401.58
厃	226.28
厄	163.09 515.39
厇	515.36
厈	422.59
厊	308.05
厎	247.10 251.05
厏	309.38 309.44
厓	093.59
厖	038.41
厗	088.38
厙	423.18
厚	325.11 437.39
厜	050.07
厝	369.51 506.18
原	113.02
厤	521.16
厥	476.05 478.16
厧	135.11
厬	248.20
厭	334.25 443.42 540.67
厱	230.46 231.31
厲	378.46
厴	334.27
厵	113.05
厶	054.13
厸	336.14
厹	210.17
去	259.31 362.13
厽	242.35
叀	411.57
參	220.18 220.41 221.23 224.13 442.17
又	434.20
叉	093.41 167.40
及	532.26
友	321.10
反	114.53 281.08
叒	502.23
叔	456.30
叕	499.28
取	264.06 327.48
受	324.18 417.24
叚	308.11
叛	404.42
叜	326.43
叟	326.44
叡	376.09
叢	031.01
口	327.31
古	265.39
句	074.51 215.10 364.47 439.32
叨	156.23
叩	327.36
只	040.38 240.27
叫	412.43
召	414.01 414.03
叮	194.42
可	304.54
台	059.15 100.45
史	252.09
右	321.08 434.22
叴	210.16
叵	307.08
叶	541.13
号	417.01
司	059.30
叿	032.21
吁	074.15 366.09
吂	182.56 428.47
吃	477.11
各	506.24
吅	115.03 344.31
合	534.11 534.24
吉	469.09
同	023.14
名	192.29
后	325.15 437.34
吏	357.11
吐	264.31 368.23
向	425.05 425.28
吒	422.14
君	111.37
吝	392.38
吞	120.33 133.18
吟	219.38 441.22
吠	391.33
吡	246.31 471.47
吣	440.29
否	249.33 323.07
吧	167.21 167.39
吨	283.06
吪	163.05
含	222.07
听	276.20 280.08
吭	182.54 314.13 427.21
吮	278.16 293.16
启	269.50
吰	188.34
吱	348.35
吳	083.30
吵	298.28 301.07
吶	500.17
吷	500.23
吸	533.25
吹	043.08 348.25
吺	215.16
吻	278.31
吼	327.01 440.11
吽	327.02
吾	083.26 168.15
呀	168.13 169.38
呁	394.32
呂	256.17
呃	384.44
呈	192.05 431.01
告	417.29 460.36
呝	515.45
呞	060.36
呢	053.45
呣	215.36
呤	196.36
呥	227.03
呦	215.39
周	206.14
呪	435.30
呫	541.10
呬	355.32
呭	378.23
呰	246.07
呱	082.08
味	358.44
呴	327.03 365.07
呵	161.23 420.03
呶	152.40
呷	545.08
呺	147.25
呻	103.04
呼	083.09
命	429.13
呾	483.18 490.19
呿	164.32 362.15 545.39
咀	259.02 259.43
咄	480.39 487.20
咅	439.15
咆	154.20
咇	471.49 473.02 496.02
咈	476.28
咉	182.28 314.52
咊	163.44
咋	422.28 511.14 514.22
和	163.43 420.13
咍	098.52
咎	155.17 323.30
咏	429.32
咟	513.31
咠	531.15 532.19
咡	061.17 357.29
咢	506.32
咤	169.34 422.15
咥	469.46 493.26 496.15
咦	058.37
咨	052.29
咫	240.31
咬	152.15 154.42
咭	469.42 488.19
咮	077.22 210.09 366.30 435.14
咰	472.06
咳	100.50
咶	386.23 387.18 490.47
咷	157.25 412.31
咸	229.26
咹	483.46
咺	281.46
咻	209.27 262.49
咼	093.24
咽	134.10 408.27 495.35
咿	054.32
哀	099.05
品	329.41
哂	275.40
哃	024.14
哄	344.06
哆	169.26 245.41 304.11 309.48 358.25 419.23 422.18
哇	093.63 169.10
哈	536.38
哉	100.29
哊	459.23
哢	342.20
哤	039.03
哥	159.10
哦	160.31
哨	146.59 414.33
哫	463.19
哭	449.61
哮	153.25 415.29
哯	289.10
哰	155.49
哱	481.52
哲	497.16
哳	491.19
哴	179.46 424.52
哵	488.36
哷	499.40
哹	208.24 211.07
哺	370.08
哽	315.45
哿	304.02
唁	409.27
唂	449.46
唄	386.49
唅	223.14 441.48
唆	162.23
唇	101.25
唈	533.48 536.49
唉	099.07 271.36
唊	541.29
唌	122.28
唏	255.48 361.21
唐	178.12
唧	470.41 527.47
唪	237.34 238.24
唫	219.41 329.29
唬	421.55 513.04
唭	358.41
售	437.18
唯	055.51 250.14
唱	426.12
唲	045.35
唳	374.34 496.22
唴	427.02
唵	330.38
唶	423.12
唸	409.05 444.37
唹	069.40
唻	095.35 274.49
唾	420.26
啀	093.56
啁	154.10 210.04
啂	326.41
啄	450.14 465.21
啅	465.23
商	172.22
啇	521.52
啉	222.34
啌	040.02
啍	119.30
啎	368.44
問	395.31
啐	387.20 388.29 389.13 474.03
啑	370.34 545.02
啒	480.05 481.26
啕	157.41
啖	332.50 443.22
啗	332.51 443.21
啙	091.23 246.03 268.10
啚	082.44 247.22
啜	376.18 379.19 499.14 499.22 500.56
啞	308.18 421.49 511.40 515.50
啟	269.42
啡	274.26
啺	178.13
啻	348.44
啼	087.58
啾	205.26
喀	511.37
喁	036.05
喃	230.29
善	291.53
喅	456.01
喆	497.18
喈	094.13
喉	212.18
喊	333.13 336.30 337.10
喋	541.40 542.45 544.32
喌	206.20 456.26
喍	083.10
喎	093.25
喑	220.15 222.06 441.12
喓	150.18
喔	466.60
喗	279.21
喘	294.12
喙	391.37
喚	404.05
喛	114.56 404.12
喜	251.12
喝	387.09 483.09
喟	352.20 385.46
喠	237.41 240.01
喢	539.58 540.58 543.52 544.09
喣	262.50
喤	184.30 184.51
喥	504.40
喦	540.02
喧	115.05
喪	180.31 428.35
喫	523.01
喬	147.49 150.26
喭	401.42 409.28
單	121.14 138.32 292.01 409.22
喻	365.22
喿	418.40
嗀	451.37 467.38
嗁	087.57
嗂	149.06
嗃	153.23 415.31 507.54
嗄	387.11 424.16
嗇	526.33
嗈	036.09
嗉	369.19
嗊	237.22
嗋	545.32
嗌	516.48
嗑	536.53 537.72
嗒	534.49 537.40
嗔	104.14 134.39
嗕	462.22
嗗	488.49
嗙	184.45
嗚	085.07
嗛	336.02
嗜	352.31
嗝	515.28
嗞	063.17
嗟	165.22
嗢	481.11 488.46
嗣	356.34
嗤	063.01
嗥	154.55
嗷	158.17
嗸	158.16
嗹	134.20
嗺	079.31 098.03 098.48 250.25
嗻	423.09
嗼	505.09 510.07
嗽	439.06 450.35 465.02
嗾	326.46 439.11 439.45
嗿	331.02
嘁	535.63
嘂	412.50
嘅	390.27
嘆	122.02 400.46
嘈	158.31
嘉	166.32
嘌	151.33
嘍	213.34 327.21
嘎	489.19
嘏	308.09
嘐	152.29 153.29
嘒	374.09
嘓	513.44
嘔	212.30 327.14
嘕	139.03
嘖	511.04 514.11 514.16
嘗	176.21
嘪	270.39
嘫	130.14
嘬	387.01
嘮	154.46
嘯	412.21
嘰	065.25
嘲	154.08
嘳	352.21 385.51
嘵	146.31
嘶	090.19
嘹	146.23 413.15
嘺	151.38
嘻	062.37
嘼	435.28
嘽	122.01 291.32
嘾	330.31
噁	369.44
噂	282.33
噅	042.10
噆	331.14 535.59
噇	040.22
噈	457.16
噉	332.49
噊	473.15 473.49
噋	119.10 509.43
噌	189.09
噍	148.07 414.22
噎	495.30
噏	533.26
噓	069.29 363.34
噞	334.17 443.50
噟	433.10
噡	226.27
噢	263.25 458.11
噣	435.15 438.43 461.14 465.24
噤	329.26 440.48
噥	033.26 039.15
噦	382.14 478.37 498.44
噧	385.25 483.37
器	354.40
噩	507.04
噪	418.42
噫	062.45 384.43
噬	377.41
噭	412.49
噮	409.02
噰	036.08
噱	503.23
噲	386.37
噳	259.47
噴	120.19 399.42
噿	250.24
嚀	197.10
嚂	333.14 442.39 442.49
嚃	535.28
嚄	511.02
嚅	075.21
嚇	421.53 512.02
嚊	351.45
嚌	371.16
嚏	370.33
嚖	374.10
嚗	465.36
嚘	202.43
嚚	105.20
嚛	451.43 460.48
嚜	350.18
嚝	184.50
嚞	497.19
嚥	408.26
嚧	084.30
嚨	030.20
嚫	394.13
嚬	105.07
嚭	250.06
嚮	311.45 425.35
嚱	348.29
嚲	304.09
嚳	460.13
嚴	231.21
嚵	231.01 335.24 445.43
嚶	188.51
嚻	147.18
嚼	503.11
嚾	404.06
囀	411.60
囁	540.03 540.06
囃	538.15
囈	378.35
囉	161.03
囊	183.14
囋	402.33 484.08
囏	129.11
囐	484.09
囑	461.10
囗	064.08
囚	209.29
四	354.26
回	096.27
囟	392.08
因	101.33
囤	282.40
囦	135.50
囧	316.41
囩	105.35
囪	031.24 039.20
园	124.12
囮	163.07 205.14
困	399.18
囷	105.38
囹	195.32
固	368.33
囿	434.29 459.22
圁	105.17
圂	399.08
圃	268.05 369.37
圄	256.10
圅	222.23
圈	281.15 293.44 399.02
圉	256.08
圊	190.10
國	530.39
圌	043.02 142.09
圍	064.03 359.19
園	113.27
圓	142.17
圔	544.17
圖	082.43
團	124.48
圛	517.23
圜	128.01 142.16
圝	126.04
土	264.30 265.08
圠	489.27
圢	288.24 320.01
圣	482.08
圤	466.11
在	274.38 391.09
圪	472.38 477.17
圬	085.11
圭	091.42
圮	249.35
圯	059.01
地	355.27
圱	132.12
圻	065.11 112.39 120.35
圼	494.27
圿	489.10
址	251.02
坁	240.35
坂	281.11
坄	214.32 519.32
坅	328.23
均	108.33
坉	119.25 282.44
坊	173.08 175.02
坋	279.05 396.47
坌	399.52
坎	331.30
坐	306.37 420.52
坑	184.12
坒	355.06 471.39
坡	163.40
坢	286.33
坣	178.19
坤	120.04
坥	069.03 362.09
坦	284.03
坩	224.28
坪	186.03
坫	218.07 444.32
坬	424.19
坭	269.30
坯	098.26
坰	198.14
坱	314.48
坲	476.26
坳	154.38
坴	454.29
坷	305.03 419.27
坹	492.25 493.01
坺	477.48 487.46
坻	053.50 240.28 269.07
坿	078.16 364.20
垂	042.47
型	194.05
垍	353.53
垎	512.05
垐	053.32 528.67
垑	245.34
垒	242.36 351.13
垓	099.28
垔	101.44
垕	325.12
垗	297.17
垘	530.29
垙	181.50
垚	146.28
垛	306.12
垝	242.08 346.43
垠	105.24 112.40 120.34
垡	477.41
垢	326.19
垣	113.25
垤	493.15
垶	193.24
垷	289.02 289.12
垸	124.06 402.38
垹	039.32
垻	423.29
垼	519.33
垽	393.32 397.21
垾	400.24
埂	184.09 315.49
埃	099.06
埆	466.36
埇	238.35
埈	394.45
埋	095.24
埌	427.18
埍	289.49 290.04
城	191.29
埏	137.33 138.20
埐	218.48 219.03
埒	499.32
埝	444.39 542.07
域	528.01
埢	293.43
埤	047.22
埧	366.03
埩	189.02 190.04
埪	027.32
埫	237.44
埬	023.11
埭	389.40
埯	333.17 336.25
埰	391.02
埱	455.45
埲	237.35
埳	331.36
埴	358.26 525.33
埵	305.25
埶	378.31
執	531.20
埸	517.22
培	098.12 325.33
基	061.35
埻	277.26 509.20 513.38
埽	302.17 418.46
埾	366.10
埿	091.31 374.59 445.53
堀	476.21 482.05
堁	307.22 389.09 420.20
堂	178.18
堄	270.23 372.40
堅	089.39 133.20
堆	097.48
堇	103.51 279.44
堈	180.22
堉	455.63
堊	507.32
堋	201.38 202.23 434.12
堖	302.04
堗	480.55
堙	101.47
堚	116.27
堛	528.29
堜	407.57
堝	162.11
堞	541.43
堟	294.28
堠	437.36
堡	303.19
堢	303.18
堣	072.13
堤	045.26 087.43 269.14
堥	156.16 211.42
堦	094.19
堧	140.41 420.46
堨	483.41
堩	433.45
堪	223.02
堫	032.02 039.25
堬	076.38
堭	181.19
堮	507.11
堯	146.25
堰	280.21 398.35 410.30
報	418.26
堲	470.39 527.45 528.66
場	174.17
堵	265.32 307.37
堶	162.40
堸	026.25
堹	345.07
塈	353.54 361.22
塉	519.11
塊	389.07
塋	191.02
塍	199.36
塎	238.33
塏	273.43
塐	369.23
塑	369.22
塒	059.20
塓	523.38
塔	537.38
塕	237.06
塖	199.37
塗	082.33 168.39
塘	178.31
塙	466.31
塚	238.22
塛	470.04
塞	390.10 530.14
塠	097.45
塢	266.41
塤	114.60
填	104.02 134.29 393.48 407.38
塯	436.22
塲	173.04
塵	104.07
塸	327.18
塹	443.58
塺	096.51 420.43
塻	505.10
塽	311.34
塾	455.36
塿	327.20
墀	053.48
墁	126.58 404.24
境	316.12
墄	531.04
墅	259.40
墆	372.14 493.27
墇	173.19 425.47
墉	035.08
墊	444.35 541.57
墋	329.22
墌	518.23
墐	103.52 394.08
墓	367.05
墜	356.02
墝	153.56
增	201.18 434.16
墟	071.22
墠	291.55
墡	292.04
墣	452.15 466.10
墤	097.29 385.53
墦	114.38
墨	529.51
墩	119.04
墫	108.01
墬	355.28
墭	431.31
墮	042.35 306.11 306.30
墲	073.17 080.44 086.34
墳	110.33 278.47
墺	418.37 458.12
墻	176.36
墼	520.23
墽	146.45
墾	283.32
墿	517.26
壁	523.43
壂	407.40
壃	174.03
壄	307.39
壅	036.17 238.04
壇	122.15
壈	332.02
壍	443.57
壎	115.01
壏	337.18
壐	244.19
壑	507.47
壒	380.09
壓	544.38
壔	302.29
壕	155.02
壗	393.29
壘	249.08
壙	428.30
壚	084.09
壛	225.12
壜	221.13
壝	055.46 250.17
壞	384.40 386.02
壠	237.46
壡	141.08
壣	103.44
壤	312.10
士	253.18
壬	218.18
壯	426.04
壴	366.29
壹	468.42
壺	081.09
壻	372.29
壼	283.09
壽	324.19 437.17
壾	314.28
夂	056.22 250.29
夃	266.10
夅	039.39
夆	036.51
夊	050.27
夋	108.06
夌	198.36
复	453.44
夎	388.36 420.17
夏	308.26 422.47
夔	056.27
夕	519.01
外	382.25
夗	281.32
夘	269.02
夙	458.29
多	159.19
夜	422.55
夝	190.14
夠	214.13 215.12
夡	353.16
夢	026.09 343.35
夤	104.23
夥	271.19 307.14
大	380.23 419.33
夨	496.24 528.51
天	133.14
太	379.42
夫	078.09 079.45
夬	386.33
夭	151.05 297.22 303.37
央	177.26
夰	301.20 303.02
失	470.36
夲	156.34
夵	333.29
夷	051.13
夸	166.17
夽	279.20
夾	543.23
奃	087.46
奄	335.02
奅	416.15
奇	043.40 047.02
奈	380.19 419.34
奉	238.23
奊	494.18
奎	092.08
奏	439.12
奐	404.09
契	373.11 477.24 495.41
奒	099.03
奓	169.29 422.19
奔	119.44 400.07
奕	517.07
奘	315.35 427.33
奚	089.15
奜	255.13
奝	144.46
奞	056.21 147.03 392.13 394.49
奠	407.28 432.14
奡	417.39
奢	165.02
奣	317.17
奤	507.16
奧	418.29
奪	486.26
奫	106.14
奮	396.30
奯	486.36
奰	351.55
奲	309.45
女	258.01 363.35
奴	083.02
奵	319.38
奸	122.42
奻	128.42 405.54
奼	310.10 368.13 422.16
好	303.08 419.01
奿	398.30
妀	251.17
妁	501.55 502.38
如	071.09 363.13
妃	064.17 388.06
妄	426.29
妉	222.53
妊	440.35
妋	079.53 202.49
妌	318.01
妍	135.21
妎	373.02 380.33
妐	034.12
妑	167.19
妒	368.09
妓	047.04 242.38
妖	151.01
妗	226.43 229.25 230.21
妘	110.07
妙	414.26
妛	063.02
妜	493.06 500.24
妝	176.14
妠	442.28 491.07 536.10
妢	111.02
妣	248.07
妤	068.14
妥	306.25
妦	037.06
妧	403.34
妨	178.05 426.27
妬	368.10
妭	487.37
妯	206.08 454.37
妲	483.17
妵	326.09
妷	468.26
妸	161.34 305.07
妹	387.48
妺	485.19
妻	087.24 372.20
妼	471.50
妾	540.17
妿	159.04 161.35
姁	074.22 075.15 262.44 365.08
姂	446.19 546.20 546.25
姅	404.30 404.39
姆	438.14
姇	079.19
姈	197.01
始	253.02
姌	334.31 335.42
姍	122.13
姎	182.32 314.49
姏	225.01
姐	309.09
姑	082.06
姒	251.31
姓	431.07
委	042.22 241.37
姕	046.49 049.02
姘	189.18 195.22
姚	148.36
姛	237.27
姜	174.11
姝	080.09
姞	471.25
姟	099.34
姡	486.25 490.46
姢	141.21
姣	151.54 300.16
姤	439.26
姥	264.24
姦	128.35
姨	051.10
姪	468.25 493.10
姬	059.14 061.32
姭	445.04
姰	107.05 407.11
姱	166.18
姳	319.34
姴	497.14
姶	536.19
姷	434.30
姺	109.25 288.15
姻	101.49
姼	045.30 241.11 245.28
姽	242.23 246.48
姿	052.36
娀	025.25
威	064.47
娃	093.61
娉	431.11
娋	153.07 416.27
娌	252.25
娎	413.29 500.54
娏	039.05
娑	159.22 304.15
娓	254.37 350.21
娕	467.47
娖	467.44
娗	194.26 319.52
娘	176.06
娙	189.64 194.09
娛	072.11 368.52
娜	304.42
娝	247.23
娞	273.10
娠	103.03 391.55
娡	356.22
娣	269.17 371.54
娥	160.32
娧	383.17 498.39
娨	405.20
娩	281.02 295.01 395.41 398.07 398.29
娪	083.40
娬	262.05
娭	062.39
娵	079.29
娶	075.41 366.21
娷	349.28
娸	061.22
娺	055.24 488.41
娽	451.17 462.45
娾	095.44 271.33
娿	161.32 305.08
婁	077.42 213.17
婄	098.16 325.41 327.09
婆	162.29
婉	281.18
婌	455.39
婍	243.10
婎	058.10 355.13
婏	365.39
婐	166.07 306.50
婓	064.20
婔	064.11
婕	538.37
婗	089.50
婘	143.04
婚	120.13
婞	320.20
婟	267.31 368.57
婠	124.36 403.24 488.44
婢	245.25
婣	101.50
婤	206.04 206.23
婥	502.27
婦	322.35
婧	190.23 318.02 431.28
婪	222.29
婬	218.26
婭	421.50
婱	133.49
婸	313.29
婹	296.30
婺	365.41
婼	045.36 169.48 502.46
婽	308.16
媀	364.04
媁	065.01 255.32
媄	247.20
媅	222.55
媆	399.23
媉	467.06
媊	046.45 292.12
媌	153.16 300.04
媐	058.51 062.31
媒	096.42
媓	181.35
媕	221.37 335.15 536.23
媖	185.39
媚	350.13
媛	113.32 409.44
媞	088.05 241.05 269.22
媟	496.35
媠	306.26 421.03
媢	303.12 353.32 417.54 460.43
媣	224.06
媥	139.23
媦	359.06
媧	093.15 166.09
媨	436.31
媮	076.41 214.25
媰	078.29
媱	148.24
媲	374.12
媵	432.44 432.50
媷	462.21
媸	063.03
媺	247.17
媻	126.43 162.30
媼	303.35
媽	264.27
媾	439.24
媿	352.12
嫁	421.33
嫂	302.14
嫄	113.07
嫇	188.14 197.38 319.29
嫈	188.53 193.02 430.28
嫉	356.01 470.23
嫋	296.36
嫌	229.14
嫕	373.30
嫖	151.18 414.20
嫗	364.08
嫙	141.19 411.25
嫚	405.22
嫛	089.36
嫠	061.55
嫡	510.21 521.33
嫢	050.11 249.25 289.20
嫣	139.05 143.34 295.21 398.43
嫥	141.61
嫧	514.21 514.28 518.47
嫩	399.22
嫪	155.48 418.02
嫫	080.39
嫭	368.56
嫯	158.21 417.35
嫳	495.57
嫴	082.23
嫵	261.15
嫷	306.21 420.30
嫸	291.20
嫺	129.16
嫼	489.29
嫽	146.06 299.29 413.13
嫿	513.26
嬀	042.06
嬃	075.34
嬆	533.32
嬇	385.47 388.58
嬈	296.40 297.34 413.28
嬉	062.29 358.33
嬋	138.39
嬌	147.44 150.36 298.40
嬐	334.14
嬒	382.30 486.47
嬔	398.23
嬖	373.42
嬗	122.08 283.45 409.25
嬙	176.38 526.41
嬚	333.39
嬛	140.37 141.22 193.13
嬜	219.50 222.03 225.05
嬣	189.16
嬥	145.14 296.54 413.08 466.42
嬩	068.11
嬪	104.37
嬬	075.24
嬭	269.24 270.49
嬮	228.15 443.46 540.65
嬯	099.16
嬰	191.06
嬱	444.01
嬲	296.35
嬳	503.32 509.27
嬴	190.32
嬹	433.17
嬻	449.24
嬼	321.22 436.08
嬾	284.42
嬿	288.46 408.25
孀	176.30
孁	196.16
孂	298.45 336.12 531.03
孃	174.42 176.05
孅	226.09
孈	244.31 250.19 349.40 383.55
孉	143.05
孋	046.15
孌	293.33 410.54
孎	463.13 465.17
子	253.30
孑	500.09
孓	239.13 476.03 478.33
孔	236.13
孕	432.41
孖	063.20 357.18
字	357.13
存	118.11
孚	078.35
孛	387.38 480.33
孜	063.15
孝	415.28
孟	429.18
孠	356.35
孡	100.43
季	354.41
孤	082.01
孥	083.07
孨	294.31 411.46 533.63
孩	100.49
孫	117.33
孮	033.18
孰	455.34
孱	129.34 138.15 287.47
孳	063.13 357.15
孴	254.13 533.62
孵	079.05
孷	062.03
學	467.25
孺	365.25
孼	497.51
宀	140.05
宁	071.02 256.37
宂	238.05
它	160.46
宄	248.22
宅	512.31
宇	260.03
守	322.28 435.18
安	121.24
宊	480.43
宋	344.18
完	123.34
宏	188.21
宐	045.05
宓	470.53 472.14
宔	263.22
宕	427.09
宖	188.32 189.57
宗	033.42
官	125.11
宙	435.04
定	432.05 432.12
宛	115.20 281.26
宜	045.04
客	511.36
宣	140.19
室	470.37
宥	434.19
宦	405.32
宧	059.11
宬	191.31
宭	111.23 111.43
宮	025.44
宰	274.01
宲	303.26
害	380.31
宴	288.45 408.19
宵	146.47
家	166.33
宷	329.05
宸	102.12
容	034.49
宿	436.28 458.27
寀	274.30
寁	331.20 539.24
寂	523.11
寄	347.14
寅	051.12 104.22
密	472.11
寇	437.43
寋	280.32
富	435.56
寍	197.04
寎	429.30
寏	124.07
寐	353.31
寑	328.08
寒	120.37
寓	364.02
寔	525.29
寗	431.45
寘	346.07
寞	505.07
察	488.56
寡	309.24
寢	328.10
寣	481.21
寤	368.42
寥	145.36 521.05
實	468.18
寧	197.03
寨	387.21 530.16
審	329.06
寪	243.36
寫	308.28
寬	126.19
寮	145.44
寯	395.14
寰	127.40 407.01
寴	102.27 394.28
寵	237.42
寶	303.14
寷	027.08
寸	399.50
寺	356.33
寽	474.20
封	035.35 344.38
尃	079.07
射	422.56 423.19 517.25 519.54
將	175.26 426.23
專	141.57
尉	359.42 475.41
尊	118.06
尋	216.36
尌	364.14
對	388.19
導	417.07
小	297.05
尐	500.39
少	297.27 415.01
尒	245.11
尖	227.30
尗	456.40
尚	176.18 425.50
尟	290.26
尠	290.25 366.39
尣	182.22
尤	202.24
尥	154.33 413.12
尨	039.01
尪	182.23
尬	385.08
尯	352.27
尰	239.05
就	436.35
尲	229.41
尳	480.10 482.50
尵	095.22 097.32
尸	054.16
尹	277.28
尺	518.02
尻	158.52
尼	053.40
尾	254.33
尿	412.55
局	461.39
屁	352.49
居	061.42 066.34
屈	476.06 476.12
届	385.01
屋	448.01
屍	054.18 356.16
屎	058.41 248.35
屏	192.36 197.45 318.30
屐	510.38
屑	491.24
屒	102.17 278.30
屓	355.31
屔	091.32
展	290.49
屖	090.24
屚	439.53
屝	360.23
属	461.07 462.07
屟	542.23
屠	071.07 082.31
屢	366.40
屣	244.42 349.04
層	201.34
履	249.06
屧	542.22
屨	364.46
屩	501.45
屬	461.06 462.06
屮	500.47
屯	107.44 119.13
屰	511.31
山	129.03
屴	524.44
屵	484.13
屸	030.33
屹	477.16
屺	253.15
屼	481.37
屾	109.18
岈	169.41
岉	475.08
岊	492.08 494.37
岌	533.07
岍	135.19
岏	124.10
岐	044.07
岑	220.27
岓	065.20
岝	508.21 511.16
岟	311.05
岡	180.12
岢	305.01
岣	080.22 326.26
岦	532.50
岧	145.11
岨	068.37
岫	435.23
岭	196.52
岯	057.42
岱	389.36
岳	464.20
岵	267.25
岷	105.46
岸	401.35
岻	054.03 087.44
峉	511.27
峋	106.54
峏	061.07
峐	099.37
峑	141.53
峒	023.20 343.14
峓	051.14
峔	264.28
峗	049.39
峘	124.03 202.14
峙	253.05
峛	244.33
峞	098.37 273.19
峩	160.34
峬	085.35
峭	414.30
峮	105.43
峯	037.01
峱	158.49
峴	289.08
峹	082.52
峻	394.41
峽	542.68
峿	084.01
崀	314.45
崆	027.27 040.14
崇	025.18
崈	025.19
崋	166.02 423.34
崌	067.09
崍	100.03
崎	044.51 065.09
崐	116.41
崒	473.29
崔	097.38 098.06
崖	045.14 093.54
崗	180.13
崘	120.01
崚	199.07
崛	476.17 476.57
崝	189.04
崞	509.15
崟	219.42
崠	023.10
崢	185.30 188.60
崤	151.49 155.05
崥	090.41 245.06
崦	227.23
崧	025.23
崨	539.26
崩	201.17
崪	482.36
崱	525.52
崳	076.32
崴	095.29
崵	171.19 313.28
崶	035.39
崷	205.37
崹	088.22
崺	244.28
崽	093.66 095.41
崿	507.01
嵀	262.40
嵁	223.05 223.27 230.45 331.18 336.51
嵃	292.39
嵇	089.28
嵈	285.16
嵊	433.01
嵋	057.08
嵌	231.20 333.11
嵍	365.51
嵎	072.15
嵐	222.32
嵑	484.01
嵒	230.09
嵔	255.50 271.46
嵕	031.40
嵞	082.51
嵟	097.54
嵠	091.35
嵣	313.38 427.15
嵤	188.26
嵥	497.29
嵦	101.02
嵧	203.28
嵩	025.22
嵫	063.14
嵬	098.35 273.20
嵯	048.24
嵰	334.10
嵱	035.25
嵲	494.45
嵳	160.17
嵸	031.48 236.25
嵼	287.18
嵽	493.21
嵾	220.40
嶀	086.09
嶁	264.12 327.25
嶂	425.48
嶃	230.51 336.50
嶅	158.08
嶇	077.13
嶈	177.05
嶉	058.32
嶏	388.07 476.47
嶑	310.29
嶒	200.20
嶓	163.36
嶔	219.36
嶕	147.35
嶘	287.45
嶙	103.30 275.43
嶚	146.13
嶜	219.01
嶝	433.34
嶞	306.24
嶟	108.10 118.09
嶠	414.09
嶢	146.26
嶧	517.13
嶨	466.29 467.27
嶩	158.48
嶪	545.16
嶭	484.11 494.48
嶮	334.05 334.16
嶰	270.36
嶲	242.27
嶷	059.26 528.61
嶸	186.32 188.25
嶺	318.23
嶼	259.26
嶽	464.19
嶾	279.35
巀	484.07 494.38
巁	378.64
巂	092.31
巃	030.24 237.15
巇	044.33
巈	455.16
巉	230.50 337.34
巊	320.39
巋	058.34 250.36
巍	066.08
巎	158.47
巐	297.26
巑	125.03
巒	125.23
巔	135.06
巖	231.02
巘	280.38 292.37
巛	120.05
巜	381.43
川	140.48
州	206.15
巟	181.11
巠	193.39
巡	108.18
巢	152.31 416.62
巤	539.20
工	029.02
左	305.11 419.15
巧	299.32 416.07
巨	258.05
巩	239.23
巫	073.05
差	048.23 093.45 095.19 167.42 383.56
己	251.16
已	251.21 357.52
巳	251.32
巴	167.32
巷	345.35
巸	059.03
巽	399.12
巾	105.27
巿	475.19
帀	535.56
市	251.06
布	369.36
帆	231.33 446.10
帇	539.43
帊	423.30
帋	240.26
希	065.38
帍	267.21
帑	083.06 314.20
帒	389.42
帓	491.04
帔	043.12 346.47
帕	491.05
帖	541.02
帗	475.28 485.41
帘	109.29 225.40
帙	468.21
帚	324.32
帛	510.25
帝	370.31
帞	509.48
帟	517.08
帢	543.12
帣	410.37
帤	072.03
帥	352.18 471.57
帨	375.44 376.28
帩	414.35
帪	101.27
師	051.36
帬	111.21
席	518.48
帳	425.13
帴	122.36 133.03 292.14 402.15 489.40
帵	124.35
帶	380.35
帷	057.38
常	176.17
帹	545.03
帺	358.17
帽	417.43
帾	265.34
帿	212.08
幃	063.51
幄	466.58
幅	453.07 527.53
幋	126.33
幌	315.15
幍	156.30
幎	523.18
幏	166.55 421.39
幐	202.03 434.05
幑	063.47
幔	404.18
幕	504.44
幖	149.34
幗	388.46 513.35
幘	514.15
幝	291.29
幞	463.23
幟	357.03 358.23
幠	083.17
幡	114.48
幢	040.18 345.42
幣	376.35
幦	523.19
幧	150.45 158.55
幨	226.37 444.12
幪	029.27
幫	183.38
幬	209.38 417.14
幭	495.04
幮	080.16
幯	492.11
幰	280.41
幱	123.21
干	122.37
平	139.30 185.45
年	134.45
