㐀	丘
弌	一kLau,kMatthews,kMeyerWempe 壹kLau,kMatthews,kMeyerWempe
弍	二kMatthews,kMeyerWempe 貳kMeyerWempe
弔	吊kLau,kMatthews,kMeyerWempe
弢	韜kLau,kMatthews,kMeyerWempe
弦	絃kFenn
強	强kLau,kMatthews 彊kLau,kMatthews
强	強kLau,kMatthews 彊kLau,kMatthews
彀	够kFenn 夠kFenn
彊	強kLau,kMatthews 强kLau,kMatthews
彐	彑kFenn
彑	彐kFenn
归	歸kMatthews
彫	㓮kLau,kMatthews 雕kLau,kMatthews,kMeyerWempe
彬	斌kMatthews,kMeyerWempe
彷	髣kMatthews,kMeyerWempe 徬kLau
彸	伀kMatthews
往	徃kLau,kMatthews,kMeyerWempe
徃	往kLau,kMatthews,kMeyerWempe
徑	俓kMatthews,kMeyerWempe
徒	𨑒kFenn
從	从kMatthews
徠	倈kLau,kMatthews 勑kLau
御	馭kMatthews
徤	健kFenn
徧	遍kMatthews,kMeyerWempe
徬	彷kLau
徭	傜kMatthews
德	悳kLau,kMatthews 惪kFenn
徹	澈kLau
心	㣺kMatthews 忄kMatthews
忄	心kMatthews
忍	㣼kMatthews
忤	啎kMatthews 迕kMeyerWempe
忭	昪kMatthews,kMeyerWempe
忻	欣kLau,kMatthews,kMeyerWempe
忼	慷kHKGlyph
怀	懷kLau,kMatthews
怌	懷kFenn
怪	恠kLau,kMatthews
怱	匆kHKGlyph,kLau,kMatthews 悤kLau,kMatthews,kMeyerWempe
怳	恍kMatthews
恆	恒kLau,kMatthews,kMeyerWempe
恊	勰kMatthews
恋	戀kMatthews
恍	怳kMatthews
恐	𢙢kLau
恒	恆kLau,kMatthews,kMeyerWempe
恠	怪kLau,kMatthews
恡	吝kMatthews 悋kMatthews
恤	卹kMatthews,kMeyerWempe
恥	耻kLau,kMatthews,kMeyerWempe
恩	摁kMatthews
恿	慂kMatthews,kMeyerWempe
悁	懁kMeyerWempe
悅	悦kMatthews
悊	哲kMatthews
悋	吝kMatthews 恡kMatthews
悐	惕kMatthews
悚	𢥠kLau,kMeyerWempe
悞	誤kLau
悠	滺kFenn
悤	匆kFenn 怱kLau,kMatthews,kMeyerWempe
悦	悅kMatthews
悳	德kLau,kMatthews
悶	㥃kMatthews,kMeyerWempe 懣kLau,kMatthews
惇	敦kLau,kMatthews
惕	悐kMatthews
惛	惽kMatthews
惝	𢠵kMeyerWempe
惧	懼kMatthews,kMeyerWempe
惩	懲kMatthews
惪	德kFenn
惺	𢜫kFenn
惽	惛kMatthews
愈	愉kMeyerWempe
愉	愈kMeyerWempe
愍	憫kMatthews
愠	慍kHKGlyph,kMeyerWempe
愧	媿kMatthews,kMeyerWempe
愬	訴kMatthews
愻	遜kFenn
愽	博kMatthews
愿	願kFenn
慁	㥵kMatthews
慂	恿kMatthews,kMeyerWempe
慈	㤵kFenn
慍	愠kHKGlyph,kMeyerWempe
慙	慚kMatthews,kMeyerWempe
慚	慙kMatthews,kMeyerWempe
慞	傽kMeyerWempe
慷	忼kHKGlyph
慼	慽kMatthews,kMeyerWempe
慽	慼kMatthews,kMeyerWempe
慾	欲kMeyerWempe
憇	憩kMatthews
憋	𢠳kMeyerWempe
憑	凴kLau,kMatthews 𠗦kHanYu,kMeyerWempe
憔	顦kMatthews,kMeyerWempe
憙	喜
憝	譈kMatthews,kMeyerWempe 懟kMatthews
憩	憇kMatthews
憫	愍kMatthews
憯	㦧kMeyerWempe
憰	譎kMatthews
懁	悁kMeyerWempe
懔	凛kFenn
懜	懵kLau,kMatthews,kMeyerWempe
懟	憝kMatthews 譈kMatthews
懣	㥃kMatthews 悶kLau,kMatthews
懥	懫kMatthews
懫	懥kMatthews
懲	惩kMatthews
懵	懜kLau,kMatthews,kMeyerWempe
懷	怀kLau,kMatthews 怌kFenn
懼	惧kMatthews,kMeyerWempe
懽	歡kFenn 欢kFenn
戀	恋kMatthews
戉	鉞kMatthews,kMeyerWempe
戧	創kMatthews
戯	戲kMatthews
戱	戲kLau
戲	戯kMatthews 戱kLau
戹	厄kMatthews
扅	扊kMatthews
扊	扅kMatthews
手	扌kMatthews
扌	手kMatthews
扎	紮kMeyerWempe
扑	撲kLau,kMatthews
托	拓kLau,kMatthews
扞	捍kMeyerWempe
执	執kFenn
扯	撦kMatthews,kMeyerWempe
扳	攀kLau,kMatthews
扵	于kLau 亏kMatthews 於kLau,kMatthews
扼	㧖kMatthews 搤kMatthews
抌	舀kMatthews
抍	拯kFenn
抝	拗kLau
报	報kMeyerWempe
抬	擡kHKGlyph,kLau,kMatthews,kMeyerWempe
抽	𢭆kFenn
抿	㨉kMatthews
担	擔kLau
拇	𧿹kMeyerWempe
拏	拿kLau,kMatthews,kMeyerWempe 挐kMatthews
拓	托kLau,kMatthews
拕	拖kMatthews,kMeyerWempe
拖	拕kMatthews,kMeyerWempe
拗	抝kLau
拭	𢂑kFenn
拯	抍kFenn
拼	摒kMatthews
拿	拏kLau,kMatthews,kMeyerWempe 挐kMatthews
挂	掛kLau,kMatthews,kMeyerWempe
挐	拏kMatthews 拿kMatthews
挫	繲kMatthews
挭	骾kMatthews 鯁kMatthews
挱	挲kMatthews
挲	挱kMatthews
挷	搒kMeyerWempe
挼	捼kMatthews
捆	綑kLau
捌	八kLau,kMeyerWempe
捍	扞kMeyerWempe
捏	揑kLau,kMatthews,kMeyerWempe
捓	揶kLau,kMatthews
捦	擒kMatthews,kMeyerWempe
捬	撫kMatthews
捵	䥀kFenn
捶	箠kMeyerWempe
捼	挼kMatthews
掂	敁kMatthews
掃	埽kMeyerWempe
掏	搯kLau,kMatthews
掐	𠜼kFenn
掛	挂kLau,kMatthews,kMeyerWempe
掩	揜kLau,kMatthews
掬	匊kMatthews,kMeyerWempe
掽	碰kFenn
揅	研kMatthews
揑	捏kLau,kMatthews,kMeyerWempe
揜	掩kLau,kMatthews
揝	撍kMatthews
揦	攋kMatthews
揪	揫kMeyerWempe
揫	揪kMeyerWempe
揶	捓kLau,kMatthews
揸	楂kLau 摣kMatthews
搃	總kFenn 摠kFenn
搇	撳kMatthews
搉	㩁kMatthews
搒	挷kMeyerWempe
搖	摇kMatthews
搗	擣kLau,kMatthews
搜	𢯱kHanYu 𢲷kFenn
搞	攪kLau
搤	㧖kMatthews 扼kMatthews
搪	傏kMatthews
搫	搬kMeyerWempe
搬	搫kMeyerWempe
搭	撘kMeyerWempe
搯	掏kLau,kMatthews
携	攜kHKGlyph,kLau,kMatthews,kMeyerWempe
摁	恩kMatthews
摇	搖kMatthews
摒	拼kMatthews
摠	搃kFenn 總kFenn
摡	溉kMatthews
摣	揸kMatthews
摮	𢳆kMeyerWempe
撂	㨼kFenn
撆	撇kFenn,kMeyerWempe
撇	撆kFenn,kMeyerWempe
撍	揝kMatthews
撐	撑kFenn
撑	撐kFenn
撘	搭kMeyerWempe
撟	嬌kMatthews
撦	扯kMatthews,kMeyerWempe
撫	捬kMatthews
撲	扑kLau,kMatthews
撳	搇kMatthews
擃	攮kMeyerWempe
擄	虜kLau,kMatthews,kMeyerWempe
擋	攩kLau,kMatthews,kMeyerWempe
擒	捦kMatthews,kMeyerWempe
擔	担kLau
擗	劈kMeyerWempe
擡	抬kHKGlyph,kLau,kMatthews,kMeyerWempe
擣	搗kLau,kMatthews
擥	㩜kMeyerWempe 攬kLau,kMatthews,kMeyerWempe
擧	舉kHKGlyph
擲	擿kTang
擸	㧜kMatthews
擿	擲kTang
攀	㐴 扳kLau,kMatthews
攅	攢kMeyerWempe
攋	揦kMatthews
攜	携kHKGlyph,kLau,kMatthews,kMeyerWempe
攢	攅kMeyerWempe
攩	擋kLau,kMatthews,kMeyerWempe
攪	搞kLau
攬	㩜kMeyerWempe 擥kLau,kMatthews,kMeyerWempe
攮	擃kMeyerWempe
攴	攵kMatthews
攵	攴kMatthews
收	㧃kMatthews 収kLau,kMatthews,kMeyerWempe
攷	考kMatthews
敁	掂kMatthews
敃	暋kMatthews,kMeyerWempe
效	効kMeyerWempe
敉	侎kMatthews
敍	叙kFenn 敘kHKGlyph,kMeyerWempe
敎	教kLau,kMatthews
敏	勄kMatthews,kMeyerWempe
敕	勅kMatthews 勑kMatthews
敗	䢙kMatthews
敘	叙kHKGlyph,kLau,kMatthews 敍kHKGlyph,kMeyerWempe
教	敎kLau,kMatthews
敠	敪kMatthews
敦	惇kLau,kMatthews
敪	敠kMatthews
敷	尃kMatthews 旉kMatthews
敺	驅kLau,kMatthews
斁	𤢕kMeyerWempe
斅	斆kMatthews
斆	斅kMatthews 鏰kMatthews
斈	學kLau,kMatthews,kMeyerWempe
斉	齊kMatthews
斋	齋kLau,kMatthews
斌	彬kMatthews,kMeyerWempe
斚	斝kMatthews
斝	斚kMatthews
斞	㔱kMatthews 庾kMatthews
斤	觔kLau,kMatthews,kMeyerWempe
斥	㡿kMatthews
断	斷kFenn
斲	㓸kMatthews 斵kMatthews
斵	斲kMatthews
斷	断kFenn
於	于kLau 亏kMatthews 扵kLau,kMatthews
斾	旆kMatthews
旂	旗kLau,kMatthews
旆	斾kMatthews
旈	旒kMatthews,kMeyerWempe
旉	尃kMatthews 敷kMatthews
旒	旈kMatthews,kMeyerWempe
旗	旂kLau,kMatthews
旘	幟kMatthews
旛	幡kFenn
无	無kFenn
旧	舊kMatthews,kMeyerWempe
旪	協kMatthews
时	時kFenn 旹kFenn
旹	时kFenn 時kLau,kMatthews
昂	昻kMatthews
明	朙kMatthews
昏	昬kMatthews
昒	㫚kHanYu
昝	偺kMatthews 喒kMatthews
映	暎kMatthews
昪	忭kMatthews,kMeyerWempe
昬	昏kMatthews
昵	暱kLau,kMatthews,kMeyerWempe
昷	𥁕kFenn
昻	昂kMatthews
晁	朝kMatthews
時	时kFenn 旹kLau,kMatthews
晅	烜kMatthews
晉	晋kMatthews,kMeyerWempe
晋	晉kMatthews,kMeyerWempe
晒	曬kMatthews,kMeyerWempe
晡	𣇀kHanYu:T
晰	晳kFenn
晳	晰kFenn
暋	敃kMatthews,kMeyerWempe
暎	映kMatthews
暖	煖kLau,kMatthews
暠	皜kMatthews 𣉞kMeyerWempe
暱	昵kLau,kMatthews,kMeyerWempe
暴	虣kMatthews
曆	厤kLau,kMatthews 歴kMeyerWempe 歷kMeyerWempe
曖	瞹kMeyerWempe
曜	燿kCowles 耀kCowles
曡	叠kMatthews 疊kMatthews
曬	晒kMatthews,kMeyerWempe
更	㪅kMatthews
曼	㬅kMatthews
朁	㬱kMatthews
會	会kMatthews,kMeyerWempe
朐	鸜kMatthews 鴝kMatthews
朙	明kMatthews
望	朢kMatthews
朝	晁kMatthews
朞	稘kMatthews
朢	望kMatthews
朳	杷kMatthews
朴	樸kMatthews
朵	朶kLau,kMatthews
朶	朵kLau,kMatthews
机	機kLau,kMatthews,kMeyerWempe
朿	莿kMatthews
杇	圬kMatthews,kMeyerWempe
村	邨kHKGlyph,kLau,kMatthews
杝	柂kMeyerWempe
杠	槓kFenn
条	條kMeyerWempe
来	來kMeyerWempe
杧	芒kLau
杯	盃kLau,kMatthews,kMeyerWempe
杰	傑kMatthews
東	东kFenn
杷	朳kMatthews
杸	殳kMatthews
板	版kMeyerWempe
枏	楠kMeyerWempe
果	菓kFenn
枬	楠kMatthews
枱	儓kLau 檯kHKGlyph,kLau,kMeyerWempe
架	榢kMatthews
枾	柹kMatthews
柁	舵kMeyerWempe
柂	杝kMeyerWempe
柄	棅kMatthews
柏	栢kMatthews,kMeyerWempe
某	厶kLau
柒	七kLau,kMatthews,kMeyerWempe
柚	櫾kMatthews
柜	櫃kHKGlyph
查	査kMatthews
柰	奈kLau,kMatthews,kMeyerWempe
柳	檉kMatthews
柹	枾kMatthews
査	查kMatthews
标	檁kMatthews
栒	簨kMatthews,kMeyerWempe
栖	棲kMatthews,kMeyerWempe
栛	荔kMatthews
栢	柏kMatthews,kMeyerWempe
栰	筏kMatthews
桌	棹kMatthews
桼	㯃kMatthews 漆kMatthews
梁	樑kMatthews,kMeyerWempe
條	条kMeyerWempe 糶kLau
梟	鴞kFenn
梦	夢kLau,kMeyerWempe
梨	棃kLau,kMatthews,kMeyerWempe
梲	棳kMatthews
梹	檳kMatthews,kMeyerWempe
棃	梨kLau,kMatthews,kMeyerWempe
棅	柄kMatthews
棊	碁kLau,kMatthews 棋kLau,kMatthews,kMeyerWempe
棋	棊kLau,kMatthews,kMeyerWempe 碁kLau,kMatthews
棐	榧kMatthews
棑	篺kMeyerWempe
棕	㯶kFenn 椶kLau,kMatthews,kMeyerWempe
棥	樊kMatthews
棰	槌kLau
棱	稜kMeyerWempe 楞kFenn
棲	栖kMatthews,kMeyerWempe
棳	梲kMatthews
棹	桌kMatthews 櫂kLau
椀	盌kMatthews,kMeyerWempe 碗kMatthews,kMeyerWempe
椁	槨kMatthews,kMeyerWempe
椎	槌kMatthews
椰	㭨kLau,kMatthews,kMeyerWempe
椶	棕kLau,kMatthews,kMeyerWempe
椹	葚kFenn
楂	揸kLau 槎kMatthews
楞	棱kFenn 稜kFenn
楠	枏kMeyerWempe 枬kMatthews
楥	楦kMatthews,kMeyerWempe
楦	楥kMatthews,kMeyerWempe
楫	艥kMatthews 檝kMatthews
概	槩kFenn
榎	檟kMatthews
榛	亲kMatthews
榢	架kMatthews
榧	棐kMatthews
榨	醡kMatthews
榮	荣kMeyerWempe
榴	橊kMeyerWempe
槀	稿kLau
槊	鎙kMeyerWempe
槌	棰kLau 椎kMatthews
槎	楂kMatthews
槓	杠kFenn 篢kMeyerWempe
槖	橐kMeyerWempe
槨	椁kMatthews,kMeyerWempe
槩	㮣kMatthews 概kFenn
槪	㮣kMatthews
槹	𣓌kMeyerWempe
樊	棥kMatthews
樐	㯭kMatthews 艪kMatthews 櫓kMatthews
樑	梁kMatthews,kMeyerWempe
樚	轆kMatthews
樷	叢kFenn
樸	朴kMatthews
樻	匱kMeyerWempe 櫃kMeyerWempe
樽	墫kMatthews 罇kLau,kMatthews,kMeyerWempe
橆	無kMatthews
橇	鞽kFenn
橊	榴kMeyerWempe
橐	槖kMeyerWempe
橓	蕣kMeyerWempe
橛	橜kFenn,kMeyerWempe
橜	橛kFenn,kMeyerWempe
機	机kLau,kMatthews,kMeyerWempe
檁	标kMatthews
檉	柳kMatthews
檐	簷kMatthews,kMeyerWempe
檔	欓kMatthews,kMeyerWempe
檛	簻kMeyerWempe
檝	楫kMatthews 艥kMatthews
檟	榎kMatthews
檠	𢐧kMeyerWempe
檣	艢kMatthews
檯	儓kLau 枱kHKGlyph,kLau,kMeyerWempe
檳	㯽kMatthews,kMeyerWempe 梹kMatthews,kMeyerWempe
檴	穫kMeyerWempe
檾	䔛kFenn
櫂	棹kLau
櫃	匱kLau,kMatthews,kMeyerWempe 柜kHKGlyph 樻kMeyerWempe 饋kLau 鐀kMatthews
櫈	凳kHKGlyph,kLau,kMatthews,kMeyerWempe
櫌	耰kMatthews
櫓	㯭kMatthews 樐kMatthews 艪kLau,kMatthews
櫝	匵kMatthews,kMeyerWempe
櫱	蘖kMatthews
櫳	㰍kMatthews,kMeyerWempe
櫺	欞kMeyerWempe
櫾	柚kMatthews
欓	檔kMatthews,kMeyerWempe
欝	鬱kMatthews,kMeyerWempe
欞	櫺kMeyerWempe
欢	懽kFenn 歡kFenn
欣	忻kLau,kMatthews,kMeyerWempe
欬	咳kMatthews
欲	慾kMeyerWempe
欵	款kLau,kMatthews,kMeyerWempe
欶	𠲿kFenn
欸	唉kFenn
欹	猗kMatthews,kMeyerWempe
欼	啜kMatthews 歠kMatthews
款	欵kLau,kMatthews,kMeyerWempe
歌	謌kLau,kMatthews
歎	嘆kHKGlyph,kLau,kMatthews,kMeyerWempe
歕	呠kMatthews 噴kMatthews
歗	嘯kMatthews
歠	啜kMatthews 欼kMatthews
歡	懽kFenn 欢kFenn
歱	踵kFenn
歲	亗kMatthews 岁kMatthews 嵗 歳kMatthews 𡻕kLau,kMeyerWempe
歳	歲kMatthews
歴	曆kMeyerWempe 歷kMeyerWempe
歷	曆kMeyerWempe 歴kMeyerWempe
歸	归kMatthews
歹	歺kLau,kMatthews
歺	歹kLau,kMatthews
歿	殁kMatthews
殁	歿kMatthews
殃	䄃kMatthews
殉	侚kMatthews 狥kMatthews,kMeyerWempe
殰	𦢌kMeyerWempe
殳	杸kMatthews
殻	壳kFenn
殼	㱿kMatthews
殽	淆kLau
毓	育kMatthews
毗	毘kMatthews,kMeyerWempe
毘	毗kMatthews,kMeyerWempe
毡	氈kMatthews,kMeyerWempe
毧	㲓kMatthews
氅	鷩kFenn
氈	毡kMatthews,kMeyerWempe 氊kMatthews
氊	氈kMatthews
氓	甿kMatthews,kMeyerWempe
氜	陽kMatthews 阳kFenn
氣	炁kLau,kMatthews
氤	絪kMeyerWempe
氯	綠kMatthews
水	氵kMatthews
氵	水kMatthews
氷	冫kMatthews 冰kLau,kMatthews
氼	溺kMatthews
汎	泛kLau,kMatthews,kMeyerWempe
汙	污kLau 洿kMatthews 汚kMatthews,kMeyerWempe
汚	汙kMatthews,kMeyerWempe 洿kMatthews
污	汙kLau
決	决kLau,kMatthews,kMeyerWempe
沈	沉kMatthews
沉	沈kMatthews
沍	冱kMatthews,kMeyerWempe
沖	冲kLau,kMatthews,kMeyerWempe
沪	冱kMeyerWempe
沱	沲kMatthews,kMeyerWempe
沲	沱kMatthews,kMeyerWempe
沸	㵒kFenn
況	况kMatthews,kMeyerWempe
泄	洩kHKGlyph,kLau,kMeyerWempe 渫kFenn
泉	洤kMatthews
泛	汎kLau,kMatthews,kMeyerWempe
泝	遡kMatthews
泥	坭kLau,kMatthews
泪	淚kLau,kMatthews,kMeyerWempe
洒	灑kLau,kMatthews,kMeyerWempe
洞	峒kMeyerWempe
洤	泉kMatthews
洩	泄kHKGlyph,kLau,kMeyerWempe 渫kFenn
洿	汙kMatthews 汚kMatthews
浚	濬kMatthews,kMeyerWempe
浣	澣kMatthews,kMeyerWempe
浼	凂kMatthews 潣kHanYu
涅	湼
涌	湧kMatthews
涎	㳄kMatthews
涕	䶏kMatthews
涖	莅kMatthews 蒞kMatthews
涶	唾kMatthews
涼	凉kLau,kMatthews,kMeyerWempe
淆	殽kLau
淒	凄kMatthews,kMeyerWempe
淚	泪kLau,kMatthews,kMeyerWempe
淜	漰kMeyerWempe
淡	澹kFenn
淨	凈kLau,kMatthews
淫	婬kMeyerWempe
淳	湻kMatthews,kMeyerWempe
淹	渰kMatthews
渚	陼kMatthews,kMeyerWempe
減	减kLau,kMatthews,kMeyerWempe
渨	隈kMatthews,kMeyerWempe
温	溫kMatthews
渫	泄 洩kFenn
渰	淹kMatthews
渹	𢕐kMeyerWempe 訇kMeyerWempe
湊	凑kMatthews,kMeyerWempe
湏	須kMatthews
湧	涌kMatthews
湻	淳kMatthews,kMeyerWempe
湼	涅
溉	摡kMatthews
準	准kMeyerWempe
溫	温kMatthews
溯	遡kMeyerWempe
溺	氼kMatthews
溻	褟kFenn
溼	濕kLau,kMatthews,kMeyerWempe
溽	縟kLau
滅	烕kLau,kMatthews,kMeyerWempe
滙	匯kLau,kMatthews,kMeyerWempe
滺	悠kFenn
漁	䱷kMatthews
漆	㯃kMatthews 桼kMatthews
漇	𢳜kMeyerWempe
漎	潨kMatthews
漫	澷kMatthews
漰	淜kMeyerWempe
漾	瀁kMatthews
漿	𤕯kFenn
潛	潜kMatthews
潜	潛kMatthews
潝	㴔kMatthews
潣	浼kHanYu
潨	漎kMatthews
潬	灘kMatthews
澀	澁kMeyerWempe 濇kMatthews,kMeyerWempe 瀒kMatthews
澁	澀kMeyerWempe 濇kMeyerWempe
澈	徹kLau
澗	磵kMatthews
澣	浣kMatthews,kMeyerWempe
澳	襖kMatthews 𥜌kMatthews
澷	漫kMatthews
澹	淡kFenn
濇	澀kMatthews,kMeyerWempe 澁kMeyerWempe 瀒kMatthews
濕	溼kLau,kMatthews,kMeyerWempe
濛	霥kMeyerWempe 靀kMatthews
濬	浚kMatthews,kMeyerWempe
濱	濵kMatthews,kMeyerWempe 瀕kFenn
濵	濱kMatthews,kMeyerWempe 瀕kMatthews
濶	闊kLau,kMatthews,kMeyerWempe
濿	砅kMeyerWempe
瀁	漾kMatthews
瀒	澀kMatthews 濇kMatthews
瀕	濱kFenn 濵kMatthews
灑	洒kLau,kMatthews,kMeyerWempe
灘	潬kMatthews
火	灬kMatthews
灬	火kMatthews
灯	燈kMatthews,kMeyerWempe
灰	灰kFenn
灴	烘kMatthews
灵	靈kFenn
灶	竈kHKGlyph,kLau,kMatthews,kMeyerWempe
災	灾kLau,kMatthews,kMeyerWempe 烖kLau,kMatthews 菑kFenn
灾	災kLau,kMatthews,kMeyerWempe 菑kFenn 烖kLau,kMatthews
炁	氣kLau,kMatthews
炉	爐kLau,kMatthews,kMeyerWempe
炤	照kLau,kMatthews
炮	砲kMeyerWempe 炰kMatthews 礮kMeyerWempe
炯	烱kMatthews,kMeyerWempe
炰	炮kMatthews
炸	煠kLau,kMatthews
点	點kLau,kMatthews,kMeyerWempe
為	爲kHKGlyph
烊	煬kMatthews,kMeyerWempe
烕	滅kLau,kMatthews,kMeyerWempe
烖	災kLau,kMatthews 灾kLau,kMatthews 菑kFenn
烘	灴kMatthews
烛	燭kLau,kMatthews
烜	晅kMatthews
烝	蒸kFenn
烟	完kLau 菸kFenn 煙kHKGlyph,kLau,kMatthews,kMeyerWempe
烱	炯kMatthews,kMeyerWempe
無	无kFenn 橆kMatthews
焰	燄kMatthews,kMeyerWempe
煅	鍛kLau,kMatthews
煆	鍜kMeyerWempe
煇	輝kFenn
煑	煮kFenn
煖	暖kLau,kMatthews
煙	完kLau 烟kHKGlyph,kLau,kMatthews,kMeyerWempe 菸
煠	炸kLau,kMatthews
照	炤kLau,kMatthews
煬	烊kMatthews,kMeyerWempe
煮	煑kFenn
煳	㷻kMatthews
熇	燺kMatthews
熈	熙kMatthews
熏	燻kLau,kMatthews,kMeyerWempe 𤑕
熔	鎔kLau,kMatthews
熙	熈kMatthews
熨	㷉kMatthews
熱	𤍠kLau,kMeyerWempe
燄	焰kMatthews,kMeyerWempe
燈	灯kMatthews,kMeyerWempe
燐	㷠kMatthews 粦kMatthews,kMeyerWempe
燒	簫kLau
燭	烛kLau,kMatthews
燺	熇kMatthews
燻	熏kLau,kMatthews,kMeyerWempe
燿	曜kCowles 耀kCowles,kFenn
爐	炉kLau,kMatthews,kMeyerWempe
爪	㕚kMatthews 爫kLau,kMatthews
爫	㕚kMatthews 爪kLau,kMatthews
爭	争kMatthews
爲	為kHKGlyph
爾	尒kMatthews 尔kMatthews
牀	床kLau,kMatthews,kMeyerWempe
牄	蹌kMatthews
牆	墻kLau,kMatthews,kMeyerWempe 廧kLau,kMatthews
版	板kMeyerWempe
牋	箋kLau,kMatthews
牕	窻kFenn 窗kFenn 窓kLau,kMatthews
牛	牜kMatthews
牜	牛kMatthews
牟	麰kMatthews
牠	他kMatthews 它kLau
牴	觝kMatthews,kMeyerWempe
犁	犂kMatthews,kMeyerWempe
犂	犁kMatthews,kMeyerWempe
犇	奔kMatthews
犬	犭kLau,kMatthews
犭	犬kLau,kMatthews
犲	豺kMatthews
犴	豻kMatthews,kMeyerWempe
犹	猶kFenn
狥	侚kMatthews 殉kMatthews,kMeyerWempe
独	獨kFenn
狵	尨kMatthews,kMeyerWempe
狷	獧kMatthews,kMeyerWempe
狸	貍kHKGlyph,kMatthews,kMeyerWempe
狹	陜kFenn
狻	䝜kMeyerWempe
猇	唬kMeyerWempe 虓kMatthews,kMeyerWempe
猋	飇kMatthews 颮kMatthews
猗	欹kMatthews,kMeyerWempe
猨	蝯kMatthews,kMeyerWempe 猿kMatthews,kMeyerWempe
猪	豬kLau,kMatthews,kMeyerWempe
猫	貓kLau,kMatthews,kMeyerWempe
猬	蝟kMatthews,kMeyerWempe
献	獻kLau,kMatthews
猶	犹kFenn
猿	猨kMatthews,kMeyerWempe 蝯kMatthews,kMeyerWempe
獃	呆kMatthews
獐	麞kMatthews
獠	䝤kMeyerWempe
獧	狷kMatthews,kMeyerWempe
獨	独kFenn
獫	玁kMeyerWempe
獵	𤢪kTang
獻	献kLau,kMatthews
獾	貛kMatthews
玁	獫kMeyerWempe
玄	伭kMatthews
玅	妙kLau,kMatthews
玆	兹kMatthews 茲kMatthews
玖	九kLau,kMatthews,kMeyerWempe
玟	玫kLau,kMatthews
玫	玟kLau,kMatthews
玳	瑇kMatthews,kMeyerWempe
珉	䃉kMatthews 砇kFenn
珍	珎kLau,kMatthews
珎	珍kLau,kMatthews
珪	圭kMatthews
珷	碔kMeyerWempe
琄	鞙kMeyerWempe
琅	瑯kMatthews,kMeyerWempe
琉	瑠kLau,kMatthews
瑇	玳kMatthews,kMeyerWempe
瑙	碯kMatthews
瑠	琉kLau,kMatthews
瑯	琅kMatthews,kMeyerWempe
璁	𤧚kMeyerWempe
璃	瓈kFenn
璇	璿kMatthews
璢	琉kMeyerWempe
璽	壐kMatthews
璿	璇kMatthews
瓈	璃kFenn
瓟	匏kMatthews,kMeyerWempe
瓮	罋kMatthews 甕kLau,kMatthews,kMeyerWempe
瓶	缾kMatthews,kMeyerWempe
瓷	磁kMatthews
甎	磚kLau,kMatthews,kMeyerWempe
甕	瓮kLau,kMatthews,kMeyerWempe 罋kMatthews
甖	罌kMatthews 罃kMatthews
甞	嘗kMeyerWempe
甤	蕤kMatthews
甦	穌kLau,kMatthews
甬	埇kFenn
甯	寗kMatthews
町	圢kMeyerWempe
画	畫kMatthews
甽	畎kMatthews
甾	菑kMatthews
甿	氓kMatthews,kMeyerWempe
畄	留kFenn 畱kFenn
畆	畝kFenn
畊	耕kLau,kMatthews
畎	甽kMatthews
留	畄kFenn 畱kLau,kMatthews,kMeyerWempe
畝	畆kFenn
略	畧kHKGlyph,kLau,kMatthews,kMeyerWempe
畧	略kHKGlyph,kLau,kMatthews,kMeyerWempe
畫	画kMatthews 畵kMatthews
畱	畄kFenn 留kLau,kMatthews,kMeyerWempe
畵	畫kMatthews
畺	疆kMatthews
畽	疃kMatthews
疃	畽kMatthews
疆	畺kMatthews
疊	叠kMatthews,kMeyerWempe 曡kMatthews
疋	匹kMeyerWempe
疍	蛋kMeyerWempe
疎	疏kFenn
疏	疎kFenn
疣	肬kMatthews
疱	皰kMatthews
疴	痾kLau,kMatthews,kMeyerWempe
疸	癉kLau,kMeyerWempe
疹	胗kMatthews
痐	蚘kMeyerWempe
痒	癢kMatthews
痮	脹kMatthews
痴	癡kHKGlyph,kLau,kMatthews,kMeyerWempe
痹	痺kMatthews
痺	痹kMatthews
痼	㽽kMeyerWempe
痾	疴kLau,kMatthews,kMeyerWempe
瘂	啞kFenn
瘉	癒kHKGlyph
瘨	癲kMatthews,kMeyerWempe
瘶	嗽kMatthews
瘺	瘻kMatthews
瘻	瘺kMatthews
癉	疸kLau,kMeyerWempe
癒	瘉kHKGlyph
癡	痴kHKGlyph,kLau,kMatthews,kMeyerWempe
癢	痒kFenn,kMatthews
癯	臞kMeyerWempe
癲	瘨kMatthews,kMeyerWempe
登	豋kFenn
百	佰kMatthews,kMeyerWempe
皁	皂kMatthews,kMeyerWempe
皂	皁kMatthews,kMeyerWempe
皃	貎kMatthews 貌kFenn
皋	臯kMatthews 睾kMatthews
皎	㿟kMatthews 皦kFenn
皓	顥kMatthews 皝kMatthews
皜	暠kMatthews
皝	皓kMatthews 顥kMatthews
皞	皡kMatthews 皥kMatthews
皡	皞kMatthews 皥kMatthews
皥	皞kMatthews 皡kMatthews
皦	㿟kFenn 皎kFenn
皰	疱kMatthews
皷	鼔kLau,kMatthews 鼓kLau,kMatthews
皺	縐kLau
盃	杯kLau,kMatthews,kMeyerWempe
盇	盍kMatthews
益	益kMeyerWempe
盌	椀kMatthews,kMeyerWempe 碗kLau,kMatthews,kMeyerWempe
盍	盇kMatthews
